similarity,sentence1,sentence2
neutral,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",A dog pulls his owner on a bike at the beach.
entailment,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",A man on a bike rides beside the water with a dog.
contradiction,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",The man is carrying the dog in his lap.
neutral,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",The dog is panting.
neutral,"A man in shorts, on a bicycle, rides along side a wave-crashing waterfront while his leashed dog is to his right hand side.",A man on a bike rides alongside the ocean with his dog.
contradiction,A woman in black laying face down on a mat in a tranquil room.,A woman sits on the grass.
entailment,A woman in black laying face down on a mat in a tranquil room.,The woman is indoors.
neutral,A woman in black laying face down on a mat in a tranquil room.,A woman lies in a room that is dimly lit.
entailment,A man rides his bike while he walks his dog along a bulk-wall.,man walks dog
contradiction,A man rides his bike while he walks his dog along a bulk-wall.,girl plays hop skotch
neutral,A man rides his bike while he walks his dog along a bulk-wall.,dog runs with the bike
contradiction,Woman lying face down on a matt in a yoga pose in her art studio with natural light from a nearby window shining in.,the woman is doing jumping jacks
entailment,Woman lying face down on a matt in a yoga pose in her art studio with natural light from a nearby window shining in.,the woman is lying down
neutral,Woman lying face down on a matt in a yoga pose in her art studio with natural light from a nearby window shining in.,the woman is sexy
entailment,A woman lays face down on her exercise mat next to a gazing pool.,a woman lays down
contradiction,A woman lays face down on her exercise mat next to a gazing pool.,the woman is running a marathon
neutral,A woman lays face down on her exercise mat next to a gazing pool.,the woman is a seductress
contradiction,Woman lying face down on a white mat in a round with a stone floor as sunlight streams in the window onto the driftwood in the background.,The woman is sitting on the couch watching the television.
neutral,Woman lying face down on a white mat in a round with a stone floor as sunlight streams in the window onto the driftwood in the background.,The woman is doing yoga on a mat in her house.
entailment,Woman lying face down on a white mat in a round with a stone floor as sunlight streams in the window onto the driftwood in the background.,The woman is lying on the floor during the day.
entailment,A bearded man talks on the phone while looking content.,A man talks on the phone.
neutral,A bearded man talks on the phone while looking content.,A man is happy to hear from this family.
contradiction,A bearded man talks on the phone while looking content.,A man is listening to headphones.
entailment,The two girls and their dad are looking in at the path.,The three people are looking at something
contradiction,The two girls and their dad are looking in at the path.,The old men are about to play chess
neutral,The two girls and their dad are looking in at the path.,The family is seeing where the path leads
contradiction,"Three people sitting in lawn chairs, as three people look on in the background.",Some people are waiting on an elevator.
neutral,"Three people sitting in lawn chairs, as three people look on in the background.",3 eldery people sit as their grown children stand behind them.
entailment,"Three people sitting in lawn chairs, as three people look on in the background.",some people are seated while other people stand around.
entailment,Man cutting wood with electric saw.,Person cutting wood with electric saw.
neutral,Man cutting wood with electric saw.,Sad man cutting wood with electric saw.
contradiction,Man cutting wood with electric saw.,Woman cutting wood with electric saw.
entailment,Six dogs walking beside the beach.,Six dogs are on the beach.
contradiction,Six dogs walking beside the beach.,Six dogs are lying on the beach.
neutral,Six dogs walking beside the beach.,Six dogs walking beside the water.
contradiction,Six dogs running on the sandy beach.,They run along the street
entailment,Six dogs running on the sandy beach.,Their paws move along the sand
neutral,Six dogs running on the sandy beach.,They are rushing home
neutral,A bunch of dogs on a beach.,There are bulldogs on the beach
entailment,A bunch of dogs on a beach.,There are animals on the beach
contradiction,A bunch of dogs on a beach.,The beach is dog free.
contradiction,Man in shorts and t-shirt about to start using gliding workout equipment.,Some guy is lifting weights.
entailment,Man in shorts and t-shirt about to start using gliding workout equipment.,The guy is going to start his exercises.
neutral,Man in shorts and t-shirt about to start using gliding workout equipment.,A guy is wearing his workout clothes.
entailment,"Three people, two adult women and a young girl, talk about a clock the girl is holding.",The people are all female.
contradiction,"Three people, two adult women and a young girl, talk about a clock the girl is holding.",The women are the same age.
neutral,"Three people, two adult women and a young girl, talk about a clock the girl is holding.",One of the women is elderly.
contradiction,A woman wearing a red poncho is talking on her cellphone while holding her daughter who is wearing a pink dress.,The woman is using the computer while her child naps.
entailment,A woman wearing a red poncho is talking on her cellphone while holding her daughter who is wearing a pink dress.,A woman is holding a child.
neutral,A woman wearing a red poncho is talking on her cellphone while holding her daughter who is wearing a pink dress.,The woman is calling her husband to have him pick them up.
entailment,A woman wearing a red flowered shawl is on her cellphone while carrying a little girl in a pink dress.,The woman is talking on her cellphone.
contradiction,A woman wearing a red flowered shawl is on her cellphone while carrying a little girl in a pink dress.,A man and a boy play with a small dog.
neutral,A woman wearing a red flowered shawl is on her cellphone while carrying a little girl in a pink dress.,A woman talks on her phone as she carries her daughter home.
neutral,A dark-haired woman on her cellphone holds a little girl wearing a bright pink dress.,A dark-haired woman on her cellphone holds a little girl while talking to her husband.
entailment,A dark-haired woman on her cellphone holds a little girl wearing a bright pink dress.,A mother holder her daughter.
contradiction,A dark-haired woman on her cellphone holds a little girl wearing a bright pink dress.,A man on his cellphone holds his little boy.
neutral,A little girl in a pink dress is being held by a woman who is on her cellphone.,"A mother holds her phone and her daughter, wearing the pink outfit."
contradiction,A little girl in a pink dress is being held by a woman who is on her cellphone.,"A grandmother holds her granddaughter, who is holding a pink toy phone."
entailment,A little girl in a pink dress is being held by a woman who is on her cellphone.,A woman talking on a phone holds her daughter in a pink outfit.
entailment,A man rides his dirt bike through the woods.,A man is riding a dirt bike through a forest.
contradiction,A man rides his dirt bike through the woods.,A girl is dancing ballet.
neutral,A man rides his dirt bike through the woods.,A man in a black shirt and green shorts is riding a dirt bike through a forest.
contradiction,Four women in all black barefoot posing on the beach with sailboats in the distance.,a man poses on the beach
entailment,Four women in all black barefoot posing on the beach with sailboats in the distance.,four women posing on the beach
neutral,Four women in all black barefoot posing on the beach with sailboats in the distance.,four famous models pose for a photo shoot
contradiction,A man in a red jacket is standing at the top of some steps at night.,The man is sitting on the steps.
entailment,A man in a red jacket is standing at the top of some steps at night.,There is a man awake at night.
neutral,A man in a red jacket is standing at the top of some steps at night.,The man is waiting for someone.
neutral,A woman is being filmed in a busy city.,A movie with a famous actress is being filmed.
contradiction,A woman is being filmed in a busy city.,A woman filming a video in the country.
entailment,A woman is being filmed in a busy city.,A video is being made of a woman.
neutral,a man in a red shirt at the top of a set of stairs with arena lights on in the background,a tall human in a shirt
contradiction,a man in a red shirt at the top of a set of stairs with arena lights on in the background,Nobody has a shirt
entailment,a man in a red shirt at the top of a set of stairs with arena lights on in the background,A human in a shirt
neutral,A man stands at the top of a flight of stairs at the entrance to a stadium.,A man is attending a game at his favorite stadium.
entailment,A man stands at the top of a flight of stairs at the entrance to a stadium.,A person is at a stadium.
contradiction,A man stands at the top of a flight of stairs at the entrance to a stadium.,Nobody is at the stadium.
contradiction,A construction crew is waiting around with yellow and orange jackets.,A group of people laughing
entailment,A construction crew is waiting around with yellow and orange jackets.,The crew is wearing yellow and orange jackets.
neutral,A construction crew is waiting around with yellow and orange jackets.,The crew is trying to build something.
entailment,A construction crew is waiting around with yellow and orange jackets.,Workers preparing for the day
entailment,A construction crew is waiting around with yellow and orange jackets.,Some people are near jackets.
neutral,A construction crew is waiting around with yellow and orange jackets.,Workers preparing to lay concrete
contradiction,A construction crew is waiting around with yellow and orange jackets.,A crew cut is waiting around.
entailment,A construction crew is waiting around with yellow and orange jackets.,A construction crew is waiting around.
entailment,A construction crew is waiting around with yellow and orange jackets.,A crew is waiting around.
neutral,A construction crew is waiting around with yellow and orange jackets.,A construction crew is waiting around patiently.
contradiction,A construction crew is waiting around with yellow and orange jackets.,The crew is wearing brown jackets.
neutral,A construction crew is waiting around with yellow and orange jackets.,The crew is working on construction.
neutral,A construction crew is waiting around with yellow and orange jackets.,There are at least 10 people.
contradiction,A construction crew is waiting around with yellow and orange jackets.,The person is alone in her bedroom asleep on Jupiter.
contradiction,A construction crew is waiting around with yellow and orange jackets.,The crew is working hard.
neutral,A newswoman being filmed in Times Square.,She is doing a story about Times Square.
contradiction,A newswoman being filmed in Times Square.,She is in Japan.
entailment,A newswoman being filmed in Times Square.,She is in New York City
neutral,This is a view of time square in New York.,Several ads for plays are visible.
entailment,This is a view of time square in New York.,This is outside in a large city on the East Coast of the United States.
contradiction,This is a view of time square in New York.,This is a truck stop in the Nevada desert.
entailment,A woman sings to a crowd of people.,A woman is singing.
neutral,A woman sings to a crowd of people.,The singing woman is off key.
contradiction,A woman sings to a crowd of people.,The woman is running down the street.
entailment,People standing in mud.,There is mud and people are in it.
neutral,People standing in mud.,Some people are on a muddy road.
contradiction,People standing in mud.,Some people sit on lawnchairs.
contradiction,A woman wearing a dress is standing on a lighted stage singing into a microphone in front of a large crowd.,A man is singing into a microphone.
entailment,A woman wearing a dress is standing on a lighted stage singing into a microphone in front of a large crowd.,A woman is performing.
neutral,A woman wearing a dress is standing on a lighted stage singing into a microphone in front of a large crowd.,The stage is indoors.
entailment,A woman in a dress is on stage performing before an audience while someone plays a keyboard in the background., A woman in a dress is performing before an audience while someone plays a keyboard in the background.
contradiction,A woman in a dress is on stage performing before an audience while someone plays a keyboard in the background.,A girl picks a flower from the sidewalk.
entailment,A woman in a dress is on stage performing before an audience while someone plays a keyboard in the background., A woman in a dress is on stage performing before an audience while someone plays a keyboard.
neutral,A woman in a light colored dress is singing to an audience.,A woman with black hair is singing to an audience.
entailment,A woman in a light colored dress is singing to an audience.,A person is performing.
contradiction,A woman in a light colored dress is singing to an audience.,A woman is drinking a glass of wine with her meal.
entailment,People in an audience listening to a woman on stage singing to them.,the woman is singing
contradiction,People in an audience listening to a woman on stage singing to them.,The man is singing
neutral,People in an audience listening to a woman on stage singing to them.,There is a large group
neutral,A dog walks along a beach.,A dog is walking with his owner on the beach.
entailment,A dog walks along a beach.,A dog is walking.
contradiction,A dog walks along a beach.,A dog is walking down a mountain.
contradiction,A dog walks on the sand along the water.,A fish swims along the edge of the water.
neutral,A dog walks on the sand along the water.,A puppy walks on the beach next to the ocean.
entailment,A dog walks on the sand along the water.,A canine trots over the sand at the water's edge.
entailment,A white dog running on the beach.,A dog is on the beach.
neutral,A white dog running on the beach.,A dog is running away from its owner.
contradiction,A white dog running on the beach.,A dog is on the couch sleeping.
contradiction,The dog is walking on the sand beside the ocean.,A dog sits on a blanket.
entailment,The dog is walking on the sand beside the ocean.,A dog strolls along the beach.
neutral,The dog is walking on the sand beside the ocean.,A dog pulls his owner into the ocean.
entailment,Two people working in mud.,Some people and some mud.
neutral,Two people working in mud.,Some people digging a hole.
contradiction,Two people working in mud.,A person sitting in a lobby.
entailment,A group of performers clap on stage.,the entertainers are performing
contradiction,A group of performers clap on stage.,the group is sitting is dining outside
neutral,A group of performers clap on stage.,the group is singing a song
entailment,"Five people, the two on the left wearing identical white shirts, are applauding something.",Two people are wearing the same shirts.
entailment,"Five people, the two on the left wearing identical white shirts, are applauding something.",Two people are wearing identical white shirts.
entailment,"Five people, the two on the left wearing identical white shirts, are applauding something.","A group of people, two in white, applaud."
contradiction,"Five people, the two on the left wearing identical white shirts, are applauding something.",Two people are wearing identical blue shirts.
entailment,"Five people, the two on the left wearing identical white shirts, are applauding something.",Five people clapping
entailment,"Five people, the two on the left wearing identical white shirts, are applauding something.",Five people are clapping.
neutral,"Five people, the two on the left wearing identical white shirts, are applauding something.",Five people are clapping at the great performance.
contradiction,"Five people, the two on the left wearing identical white shirts, are applauding something.","People, all of which have black shirts, sit looking bored."
neutral,"Five people, the two on the left wearing identical white shirts, are applauding something.",The white shirts are v-necks.
neutral,"Five people, the two on the left wearing identical white shirts, are applauding something.",A crowd claps for a band.
contradiction,"Five people, the two on the left wearing identical white shirts, are applauding something.",Young teens partying in pool.
contradiction,"Five people, the two on the left wearing identical white shirts, are applauding something.",No one is wearing a shirt in the picture.
neutral,"Five people, the two on the left wearing identical white shirts, are applauding something.",Family of five clapping
neutral,"Five people, the two on the left wearing identical white shirts, are applauding something.",Two people are wearing identical light white shirts.
contradiction,"Five people, the two on the left wearing identical white shirts, are applauding something.",Five people are punching each other.
neutral,"Five people, three men and two women, are standing in a line clapping in front of a banner.",The bannner is white.
contradiction,"Five people, three men and two women, are standing in a line clapping in front of a banner.",There are only men.
entailment,"Five people, three men and two women, are standing in a line clapping in front of a banner.",Some people are clapping.
contradiction,"Five adults, three men and two women, in casual attire are applauding during what appears to be recognition of a group participating in some sort of event.",The people are quiet and watching the event.
neutral,"Five adults, three men and two women, in casual attire are applauding during what appears to be recognition of a group participating in some sort of event.",The people are applauding for a Spelling Bee.
entailment,"Five adults, three men and two women, in casual attire are applauding during what appears to be recognition of a group participating in some sort of event.",The people are applauding.
contradiction,Two people a man and a woman on stage demonstration the martial arts to a crowd.,The couple were fighting over an argument of who should keep the cat.
entailment,Two people a man and a woman on stage demonstration the martial arts to a crowd.,The people on stage were demonstrating karate.
neutral,Two people a man and a woman on stage demonstration the martial arts to a crowd.,The woman broke a block of stone held by the two men.
neutral,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,two people are fighting
entailment,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The martial artists wielded weapons.
contradiction,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,Two women are doing yoga.
entailment,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,two adults sho fight skills
contradiction,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,the two adults are on a lunch date
neutral,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The man with two swords is a black belt.
contradiction,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,the two people are eating food
neutral,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.
contradiction,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The kids are playing.
entailment,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,A man and woman are giving a martial arts demonstration.
neutral,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,the woman beats up a man
entailment,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,They are doing something with swords.
neutral,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,A martial arts demonstration is showing off Chinese weaponry.
entailment,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,two people are holding weapons
contradiction,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The martial artists had no weapons.
contradiction,A competition match between two martial arts fighters.,The match is in the pool.
entailment,A competition match between two martial arts fighters.,two martial arts fighters compete against each other
entailment,A competition match between two martial arts fighters.,The two fighters were being competitive.
neutral,A competition match between two martial arts fighters.,Two master black belts fight each other
contradiction,A competition match between two martial arts fighters.,The martial arts fighters were practicing.
contradiction,A competition match between two martial arts fighters.,A competition match between two gorillas
neutral,A competition match between two martial arts fighters.,2 female mma fighting are competing.
contradiction,A competition match between two martial arts fighters.,2 female mma fighting are standing on scales at the weigh in.
contradiction,A competition match between two martial arts fighters.,Two dogs ride around on tricycles
neutral,A competition match between two martial arts fighters.,The two martial arts fighters were women.
entailment,A competition match between two martial arts fighters.,Two martial arts competitors are having a match
neutral,A competition match between two martial arts fighters.,Two kung fu masters are pummeling one another
entailment,A competition match between two martial arts fighters.,2 mma fighting compete.
entailment,A competition match between two martial arts fighters.,The fighters are trying to win.
neutral,A competition match between two martial arts fighters.,The fighters are the same gender.
neutral,five people clapping on a stage,The people on the stage are performers.
contradiction,five people clapping on a stage,The people are sitting in the seats applauding the performers.
entailment,five people clapping on a stage,The people on the stage are applauding.
neutral,A woman in an orange outfit is weaving.,The woman is weaving a quilt.
contradiction,A woman in an orange outfit is weaving.,A woman is doing pushups.
entailment,A woman in an orange outfit is weaving.,A person is wearing an orange outfit.
entailment,A black-haired woman in a bright red shirt works at a loom.,A black-haired woman is weaving at a loom
contradiction,A black-haired woman in a bright red shirt works at a loom.,A woman is sewing curtains at a sewing machine
neutral,A black-haired woman in a bright red shirt works at a loom.,A woman in a red shirt is making cloth to sew into dresses
entailment,A woman wearing gold jewelry weaves a beautiful piece.,A woman is wearing gold jewelry.
neutral,A woman wearing gold jewelry weaves a beautiful piece.,A woman is weaving a tapestry.
contradiction,A woman wearing gold jewelry weaves a beautiful piece.,A woman is wearing a silver bracelet and brushing her teeth.
entailment,A woman in an orange shirt is weaving.,A woman in an orange shirt is weaving.
neutral,A woman in an orange shirt is weaving.,A woman is weaving a rug.
contradiction,A woman in an orange shirt is weaving.,A woman is knitting a scarf for her granddaughter.
entailment,"White woman with a green hard helmet, black spaghetti string tank top, and blue jeans, in front of a stoop outside of a building during a sunny day.",There is a woman in a helmet.
contradiction,"White woman with a green hard helmet, black spaghetti string tank top, and blue jeans, in front of a stoop outside of a building during a sunny day.",The woman is waiting for rainfall.
neutral,"White woman with a green hard helmet, black spaghetti string tank top, and blue jeans, in front of a stoop outside of a building during a sunny day.",The woman is a construction worker.
contradiction,A woman in a green hard hat is standing at the bottom of a small staircase with her purse in one hand.,This woman searches the top of a staircase for her lost purse.
neutral,A woman in a green hard hat is standing at the bottom of a small staircase with her purse in one hand.,A businesswoman practices her emergency escape route.
entailment,A woman in a green hard hat is standing at the bottom of a small staircase with her purse in one hand.,This woman's head is covered.
neutral,Lady standing in front of a building with a green construction hat.,The lady in front of the building with the green construction hat supervises her team.
contradiction,Lady standing in front of a building with a green construction hat.,The lady standing in front of the building has a purple construction hat.
entailment,Lady standing in front of a building with a green construction hat.,The lady in front of the building has a green construction hat.
contradiction,woman in green hard hat walking down the street with purse.,A woman is sitting in the chair.
entailment,woman in green hard hat walking down the street with purse.,A lady is outside on the street.
neutral,woman in green hard hat walking down the street with purse.,A lady is inspecting the building project.
contradiction,Lady wearing a green work helmet and holding a bag.,The woman is wearing a straw hat.
entailment,Lady wearing a green work helmet and holding a bag.,A woman is wearing a hat.
neutral,Lady wearing a green work helmet and holding a bag.,The woman has a blue bag.
entailment,"A man laughs next to a woman wearing a pink hat, and holding a pink balloon.",A woman holding a balloon.
neutral,"A man laughs next to a woman wearing a pink hat, and holding a pink balloon.",A woman having fun at a fair.
contradiction,"A man laughs next to a woman wearing a pink hat, and holding a pink balloon.",A man hosting a magic show.
entailment,A red-haired bearded man wearing a blue t-shirt.,There is a guy with a blue shirt who has red hair.
contradiction,A red-haired bearded man wearing a blue t-shirt.,There is a woman with a yellow shit.
neutral,A red-haired bearded man wearing a blue t-shirt.,There is a guy with red hair with a dark blue shirt.
neutral,A boat floating in the water with seagulls flying above.,A boat floating in the water with birds perched on it.
contradiction,A boat floating in the water with seagulls flying above.,A seagull floating in the water with boats flying above.
entailment,A boat floating in the water with seagulls flying above.,A boat floating in the water with birds flying above.
neutral,A few men on a boat in the ocean with a flock of seagulls nearby.,Fishermen on a fishing boat try to keep seagulls away from their catch.
contradiction,A few men on a boat in the ocean with a flock of seagulls nearby.,One man sits alone on an island.
entailment,A few men on a boat in the ocean with a flock of seagulls nearby.,There are men near a group of birds.
neutral,Two people are rowing a boat as a flock of birds pass them.,The two people are rowing the boat on a sunny day.
contradiction,Two people are rowing a boat as a flock of birds pass them.,The two people are surfing.
entailment,Two people are rowing a boat as a flock of birds pass them.,The birds passed the people.
contradiction,Two people are rowing a boat through blue sparkling water as birds fly overhead.,The two people in the row boat are sitting quietly watching the birds fly over their head.
entailment,Two people are rowing a boat through blue sparkling water as birds fly overhead.,Birds are flying over two people in a row boat.
neutral,Two people are rowing a boat through blue sparkling water as birds fly overhead.,The two people rowing the boat are watching the birds fly overhead.
entailment,"There are two men, one wearing a shirt, one is n't, both wearing red pants and holding onto a ladder with both arms and their legs extended out into the air.",Two men are wearing red pants.
neutral,"There are two men, one wearing a shirt, one is n't, both wearing red pants and holding onto a ladder with both arms and their legs extended out into the air.",Two men are training to be firemen.
contradiction,"There are two men, one wearing a shirt, one is n't, both wearing red pants and holding onto a ladder with both arms and their legs extended out into the air.",Two men are playing baseball.
neutral,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",The acrobats are stunning.
entailment,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",The men's pants are red.
contradiction,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",Nobody has pants
contradiction,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",The ladder is on the floor.
entailment,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",A person in pants
neutral,"Two men wearing red pants and holding onto a vertical ladder, appear to be doing acrobats outside a building.",A tall person in pants
contradiction,Two men are performing a dangerous stunt on a high ladder.,Two men are working on a car.
entailment,Two men are performing a dangerous stunt on a high ladder.,Two men are performing a stunt.
neutral,Two men are performing a dangerous stunt on a high ladder.,Two men are performing a stunt in a circus tent.
neutral,Two men in red pants do acrobatics with a ladder.,The two men are using a metal ladder to do acrobatics for the crowd.
entailment,Two men in red pants do acrobatics with a ladder.,A ladder is used to do acrobatics by the men.
contradiction,Two men in red pants do acrobatics with a ladder.,Two men in green pants are doing acrobatics with fire.
contradiction,Two men in red pants climbing up a ladder.,The men are sitting on a couch.
entailment,Two men in red pants climbing up a ladder.,The men are wearing pants.
neutral,Two men in red pants climbing up a ladder.,The men are outside.
entailment,People are biking in a public walkways.,People are riding their bikes.
neutral,People are biking in a public walkways.,They are running into pedestrians walking.
contradiction,People are biking in a public walkways.,The bikers are riding on the street in the bike lane.
entailment,A young boy is making steaks on a barbecue.,A boy cooks.
contradiction,A young boy is making steaks on a barbecue.,My granny does parkour.
neutral,A young boy is making steaks on a barbecue.,The barbecue is outside.
entailment,Two men on a green sports field dive towards a Frisbee.,The men are going after the frisbee.
neutral,Two men on a green sports field dive towards a Frisbee.,The men are on opposing teams.
contradiction,Two men on a green sports field dive towards a Frisbee.,The men are walking on a tightrope.
entailment,"Two guys in baseball caps are trying to catch a frisbee, one has caught it.",Two men are playing frisbee.
neutral,"Two guys in baseball caps are trying to catch a frisbee, one has caught it.",Two men are teasing their dog with a frisbee.
contradiction,"Two guys in baseball caps are trying to catch a frisbee, one has caught it.",Two men are playing golf.
neutral,"Two people run and dive, one has a frisbee.",Two people are playing frisbee
contradiction,"Two people run and dive, one has a frisbee.",Two people are sleep.
entailment,"Two people run and dive, one has a frisbee.",Two people run and dive
entailment,A woman eating a large fish in a restaurant.,There is a woman eating in a restaurant
contradiction,A woman eating a large fish in a restaurant.,There is a woman eating a burger
neutral,A woman eating a large fish in a restaurant.,There is a woman eating swordfish in a restaurant
entailment,Three men in wearing black jacket and holding microphone standing behind a desk.,Three men wearing black jackets and holding microphone standing behind a desk.
contradiction,Three men in wearing black jacket and holding microphone standing behind a desk.,Three women wearing white jackets and holding microphone hiding behind a desk.
entailment,Three men in wearing black jacket and holding microphone standing behind a desk.,Three men are standing behind a desk.
entailment,"Three gentlemen wearing jackets and holding microphones standing around a table, waiting to either begin or continue sportscasting.",People in jackets
contradiction,"Three gentlemen wearing jackets and holding microphones standing around a table, waiting to either begin or continue sportscasting.",Nobody has a jacket
neutral,"Three gentlemen wearing jackets and holding microphones standing around a table, waiting to either begin or continue sportscasting.",Tall people in jackets
entailment,Three males with red microphones on a green sporting field of some sort.,The men are standing on a playing field.
neutral,Three males with red microphones on a green sporting field of some sort.,Some men are standing on a football field.
contradiction,Three males with red microphones on a green sporting field of some sort.,Three men stand on a basketball court.
neutral,Three men in black jackets stand by a desk in a field holding red microphones.,Three men are role playing for a concert.
contradiction,Three men in black jackets stand by a desk in a field holding red microphones.,A woman is holding a blue microphone.
entailment,Three men in black jackets stand by a desk in a field holding red microphones.,Men are standing by a desk with microphones.
neutral,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A helicopter is getting ready to take off.
entailment,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A member of the armed forces is photographed on a military encampment.
neutral,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A man is about to give a speech.
entailment,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A military man stands next to a dog.
contradiction,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A man is standing next to a monkey.
contradiction,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A dog in a military uniform walks his human through a barren landscape.
contradiction,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A military man lays in a fox hole to avoid gunfire.
neutral,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",An army general with his dog at Camp Pendleton.
neutral,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A military man stands next to his dog.
entailment,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",The military personnel are standing at attention.
entailment,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A soldier and his dog at a military event.
contradiction,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",Predator is hunting the military men as they attempt to get to the choppa.
contradiction,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A member of the Army is running with a gun in hand.
neutral,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A soldier and his dog stand on guard.
entailment,"A man in a military uniform stands next to what appears to be a military k-9 dog, with a loudspeaker in the foreground, and other military personnel and military vehicles in the background.",A man is standing next to a dog.
contradiction,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Two rats running on a wheel.
contradiction,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,A man takes a walk without his dog.
neutral,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,The two men are listening to music.
contradiction,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Three men are practicing synchronized swimming.
contradiction,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,The uniformed men are running towards some vehicles.
entailment,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,A man walks his observant dog in front of people.
neutral,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Two police officers wait on for a response call.
entailment,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Three men and a dog standing around.
neutral,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,A seeing eye dog helps out.
entailment,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Not all of the men have the same uniform.
neutral,Two men dressed in blue uniforms wearing headphones are standing with their arms behind their back while a man dressed in a brown camouflage uniform with a leashed dog looks over his right shoulder at several parked vehicles.,Officers investigate a parking lot.
